消費年月,縣市名稱,產業類別,交易筆數,交易金額,客單價
2020年10月,高雄市,住,461056,1529248950,3316.84
2020年10月,高雄市,行,2399177,1761950623,734.4
2020年10月,高雄市,文教康樂,1484594,2005579958,1350.93
2020年10月,高雄市,百貨,1345696,4160644134,3091.82
2020年10月,高雄市,其他,4199610,9827492361,2340.1
2020年10月,屏東縣,食,571846,510827345,893.3
2020年10月,屏東縣,衣,47606,109416228,2298.37
2020年10月,屏東縣,住,69400,225841525,3254.2
2020年10月,屏東縣,行,490670,364781128,743.43
2020年10月,屏東縣,文教康樂,253556,310662688,1225.22
2020年10月,屏東縣,百貨,205213,690475552,3364.68
2020年10月,屏東縣,其他,701339,1744246186,2487.02
2020年10月,基隆市,食,552997,440887138,797.27
2020年10月,基隆市,衣,44744,113699274,2541.11
2020年10月,基隆市,住,48765,191222798,3921.31
2020年10月,基隆市,行,313300,222283487,709.49
2020年10月,基隆市,文教康樂,217966,274414430,1258.98
2020年10月,基隆市,百貨,133493,398686324,2986.57
2020年10月,基隆市,其他,691364,1274170060,1842.98
2020年10月,宜蘭縣,食,424632,318933351,751.08
2020年10月,宜蘭縣,衣,34153,92876756,2719.43
2020年10月,宜蘭縣,住,52271,189423357,3623.87
2020年10月,宜蘭縣,行,283895,218951062,771.24
2020年10月,宜蘭縣,文教康樂,183126,222322708,1214.04
2020年10月,宜蘭縣,百貨,119199,349333351,2930.67
2020年10月,宜蘭縣,其他,533153,1072441501,2011.51
2020年10月,花蓮縣,食,284808,225204468,790.72
2020年10月,花蓮縣,衣,24584,59561740,2422.78
2020年10月,花蓮縣,住,35289,126610222,3587.81
2020年10月,花蓮縣,行,215868,152671259,707.24
2020年10月,花蓮縣,文教康樂,123729,159748736,1291.12
2020年10月,花蓮縣,百貨,75334,274741209,3646.97
2020年10月,花蓮縣,其他,372124,742705285,1995.85
2020年10月,臺東縣,食,152635,126396220,828.09
2020年10月,臺東縣,衣,14111,32708447,2317.94
2020年10月,臺東縣,住,17644,62326815,3532.47
2020年10月,臺東縣,行,117814,87014072,738.57
2020年10月,臺東縣,文教康樂,60890,77446464,1271.91
2020年10月,臺東縣,百貨,31128,81548419,2619.78
2020年10月,臺東縣,其他,156789,358566378,2286.94
2020年10月,澎湖縣,食,62838,45905361,730.54
2020年10月,澎湖縣,衣,7540,18909142,2507.84
2020年10月,澎湖縣,住,8695,32112898,3693.26
2020年10月,澎湖縣,行,50274,54169604,1077.49
2020年10月,澎湖縣,文教康樂,34022,43018486,1264.43
2020年10月,澎湖縣,百貨,22915,55356448,2415.73
2020年10月,澎湖縣,其他,66725,150574726,2256.65
2020年10月,金門縣,食,80038,63461567,792.89
2020年10月,金門縣,衣,5806,13105832,2257.29
2020年10月,金門縣,住,8217,35939249,4373.77
2020年10月,金門縣,行,35332,45804040,1296.39
2020年10月,金門縣,文教康樂,26915,30544691,1134.86
2020年10月,金門縣,百貨,19577,52495035,2681.46
2020年10月,金門縣,其他,66934,133762600,1998.43
2020年10月,連江縣,食,9055,5884601,649.87
2020年10月,連江縣,衣,919,2502003,2722.53
2020年10月,連江縣,住,1275,4176506,3275.69
2020年10月,連江縣,行,6933,11181660,1612.82
2020年10月,連江縣,文教康樂,4912,7050648,1435.39
2020年10月,連江縣,百貨,2936,7643164,2603.26
2020年10月,連江縣,其他,11274,19379020,1718.91
2020年11月,臺北市,食,8985707,7125440623,792.97
2020年11月,臺北市,衣,513412,1712179049,3334.9
2020年11月,臺北市,住,698411,3223524618,4615.51
2020年11月,臺北市,行,3365340,2198561683,653.3
2020年11月,臺北市,文教康樂,2755326,4910547520,1782.2
2020年11月,臺北市,百貨,2225949,8424101703,3784.5
2020年11月,臺北市,其他,8080923,23693837554,2932.07
2020年11月,新北市,食,9433817,6975831515,739.45
2020年11月,新北市,衣,613180,1596122707,2603.02
2020年11月,新北市,住,810076,3049565257,3764.54
2020年11月,新北市,行,4003244,2678957994,669.2
2020年11月,新北市,文教康樂,3202441,4532319291,1415.27
2020年11月,新北市,百貨,2396452,7654322111,3194.02
2020年11月,新北市,其他,10111183,24032054371,2376.78
2020年11月,桃園市,食,3983440,3186478421,799.93
2020年11月,桃園市,衣,251599,661114850,2627.65
2020年11月,桃園市,住,375261,1321508065,3521.57
2020年11月,桃園市,行,2005505,1487161763,741.54
2020年11月,桃園市,文教康樂,1392946,1907179527,1369.17
2020年11月,桃園市,百貨,1119717,3490552190,3117.35
2020年11月,桃園市,其他,4377468,10481982390,2394.53
2020年11月,新竹縣,食,1146067,912871215,796.53
2020年11月,新竹縣,衣,67255,176871668,2629.87
2020年11月,新竹縣,住,107963,415754811,3850.9
2020年11月,新竹縣,行,567925,421231153,741.7
2020年11月,新竹縣,文教康樂,363658,528809943,1454.14
2020年11月,新竹縣,百貨,291570,998080992,3423.13
2020年11月,新竹縣,其他,1199245,2864543518,2388.62
2020年11月,新竹市,食,1214070,946465748,779.58
2020年11月,新竹市,衣,62859,175844252,2797.44
2020年11月,新竹市,住,107451,419035859,3899.79
2020年11月,新竹市,行,519726,338926407,652.13
2020年11月,新竹市,文教康樂,367723,549021502,1493.03
2020年11月,新竹市,百貨,326334,1154524071,3537.86
2020年11月,新竹市,其他,1139841,2973577240,2608.76
2020年11月,苗栗縣,食,551005,437478160,793.96
2020年11月,苗栗縣,衣,42806,113627871,2654.48
2020年11月,苗栗縣,住,61014,225590440,3697.36
2020年11月,苗栗縣,行,417201,301105642,721.73
2020年11月,苗栗縣,文教康樂,219805,280891407,1277.91
2020年11月,苗栗縣,百貨,142382,419955709,2949.5
2020年11月,苗栗縣,其他,704402,1629280464,2313.0
2020年11月,臺中市,食,5049986,4205577001,832.79
2020年11月,臺中市,衣,348831,958246922,2747.02
2020年11月,臺中市,住,518868,1918025989,3696.56
2020年11月,臺中市,行,2699903,2007254197,743.45
2020年11月,臺中市,文教康樂,1725991,2707282737,1568.54
2020年11月,臺中市,百貨,1156662,3247290417,2807.47
2020年11月,臺中市,其他,5065904,13921603882,2748.1
2020年11月,彰化縣,食,1085928,878898483,809.35
2020年11月,彰化縣,衣,103682,270876230,2612.57
2020年11月,彰化縣,住,127406,455913933,3578.43
2020年11月,彰化縣,行,843188,667802240,792.0
2020年11月,彰化縣,文教康樂,434757,621842247,1430.32
2020年11月,彰化縣,百貨,262165,707957115,2700.43
2020年11月,彰化縣,其他,1371799,3772846372,2750.29
2020年11月,南投縣,食,362421,291499611,804.31
2020年11月,南投縣,衣,33862,84834207,2505.29
2020年11月,南投縣,住,43347,153452745,3540.1
2020年11月,南投縣,行,290219,216941290,747.51
2020年11月,南投縣,文教康樂,151761,197667712,1302.49
2020年11月,南投縣,百貨,87901,220457254,2508.02
2020年11月,南投縣,其他,465099,1173161590,2522.39
2020年11月,雲林縣,食,431101,353298986,819.53
2020年11月,雲林縣,衣,43933,105723594,2406.47
2020年11月,雲林縣,住,53429,186443665,3489.56
2020年11月,雲林縣,行,390915,295261475,755.31
2020年11月,雲林縣,文教康樂,180238,223244767,1238.61
2020年11月,雲林縣,百貨,101857,269946069,2650.25
2020年11月,雲林縣,其他,554523,1464694590,2641.36
2020年11月,嘉義縣,食,323227,282442824,873.82
2020年11月,嘉義縣,衣,28510,70701203,2479.87
2020年11月,嘉義縣,住,35724,116005920,3247.28
2020年11月,嘉義縣,行,287156,212085432,738.57
2020年11月,嘉義縣,文教康樂,135657,163404926,1204.54
2020年11月,嘉義縣,百貨,77564,224359818,2892.58
2020年11月,嘉義縣,其他,392026,1035192945,2640.62
2020年11月,嘉義市,食,357621,305337684,853.8
2020年11月,嘉義市,衣,27172,71460507,2629.93
2020年11月,嘉義市,住,39609,145286251,3668.01
2020年11月,嘉義市,行,213691,159497205,746.39
2020年11月,嘉義市,文教康樂,124250,172754604,1390.38
2020年11月,嘉義市,百貨,84435,258660159,3063.42
2020年11月,嘉義市,其他,402955,1116364830,2770.45
2020年11月,臺南市,食,2474200,1952231696,789.04
2020年11月,臺南市,衣,187190,451154370,2410.14
2020年11月,臺南市,住,295823,1006959716,3403.93
2020年11月,臺南市,行,1559479,1129015900,723.97
2020年11月,臺南市,文教康樂,890982,1200448561,1347.33
2020年11月,臺南市,百貨,746909,2060064300,2758.12
2020年11月,臺南市,其他,2796587,7559200414,2703.01
2020年11月,高雄市,食,4099012,3591276267,876.13
2020年11月,高雄市,衣,286046,672122940,2349.7
2020年11月,高雄市,住,479216,1643819448,3430.23
2020年11月,高雄市,行,2291878,1721784838,751.26
2020年11月,高雄市,文教康樂,1448702,1948522440,1345.01
2020年11月,高雄市,百貨,1269387,3813219627,3003.99
2020年11月,高雄市,其他,4418068,12426251519,2812.6
2020年11月,屏東縣,食,568656,536745157,943.88
2020年11月,屏東縣,衣,47924,112940854,2356.67
2020年11月,屏東縣,住,73039,259429936,3551.94
2020年11月,屏東縣,行,464764,348084608,748.95
2020年11月,屏東縣,文教康樂,244958,308757648,1260.45
2020年11月,屏東縣,百貨,186210,530063697,2846.59
2020年11月,屏東縣,其他,723304,2112617861,2920.79
2020年11月,基隆市,食,565201,446833753,790.57
2020年11月,基隆市,衣,42972,112247362,2612.1
2020年11月,基隆市,住,51618,197786462,3831.73
2020年11月,基隆市,行,299126,219919427,735.21
2020年11月,基隆市,文教康樂,209216,272484465,1302.41
2020年11月,基隆市,百貨,142226,416628459,2929.34
2020年11月,基隆市,其他,698984,1489711974,2131.25
2020年11月,宜蘭縣,食,430341,333904616,775.91
2020年11月,宜蘭縣,衣,33813,93792278,2773.85
2020年11月,宜蘭縣,住,52348,206768641,3949.89
2020年11月,宜蘭縣,行,272787,211066532,773.74
2020年11月,宜蘭縣,文教康樂,176748,219205618,1240.22
2020年11月,宜蘭縣,百貨,119595,327694862,2740.04
2020年11月,宜蘭縣,其他,549827,1299415669,2363.32
2020年11月,花蓮縣,食,283408,223163945,787.43
2020年11月,花蓮縣,衣,23783,61105197,2569.28
2020年11月,花蓮縣,住,36536,141276969,3866.79
2020年11月,花蓮縣,行,204233,148397399,726.61
2020年11月,花蓮縣,文教康樂,121909,159359259,1307.2
2020年11月,花蓮縣,百貨,77922,252376897,3238.84
2020年11月,花蓮縣,其他,367172,860727517,2344.21
2020年11月,臺東縣,食,157791,124832256,791.12
2020年11月,臺東縣,衣,14415,34406977,2386.89
2020年11月,臺東縣,住,19369,73988000,3819.92
2020年11月,臺東縣,行,114190,86464110,757.2
2020年11月,臺東縣,文教康樂,60223,76407569,1268.74
2020年11月,臺東縣,百貨,33992,86261951,2537.71
2020年11月,臺東縣,其他,161548,444696294,2752.72
2020年11月,澎湖縣,食,63822,45065093,706.11
2020年11月,澎湖縣,衣,7169,19213480,2680.08
2020年11月,澎湖縣,住,9701,36912656,3805.04
2020年11月,澎湖縣,行,48712,53975070,1108.04
2020年11月,澎湖縣,文教康樂,33166,40869385,1232.27
2020年11月,澎湖縣,百貨,22253,55875739,2510.93
2020年11月,澎湖縣,其他,69186,175022220,2529.73
2020年11月,金門縣,食,80146,63723265,795.09
2020年11月,金門縣,衣,5794,13571878,2342.4
2020年11月,金門縣,住,8716,36398830,4176.09
2020年11月,金門縣,行,33346,43146081,1293.89
2020年11月,金門縣,文教康樂,26072,31639761,1213.55
2020年11月,金門縣,百貨,18156,59274386,3264.73
2020年11月,金門縣,其他,67394,145602662,2160.47
2020年11月,連江縣,食,9663,5921451,612.8
2020年11月,連江縣,衣,912,2193911,2405.6
2020年11月,連江縣,住,1288,4367784,3391.14
2020年11月,連江縣,行,6026,10019660,1662.74
2020年11月,連江縣,文教康樂,4677,6330982,1353.64
2020年11月,連江縣,百貨,3244,9807341,3023.22
2020年11月,連江縣,其他,11894,25676518,2158.78
2020年12月,臺北市,食,9133411,7632198746,835.64
2020年12月,臺北市,衣,603448,1932783010,3202.9
2020年12月,臺北市,住,718557,3140824374,4371.02
2020年12月,臺北市,行,3615926,2416628595,668.33
2020年12月,臺北市,文教康樂,2897976,4914389339,1695.8
2020年12月,臺北市,百貨,2278501,6137391075,2693.61
2020年12月,臺北市,其他,7878123,26556542863,3370.92
2020年12月,新北市,食,9523498,7302319413,766.77
2020年12月,新北市,衣,724717,1838778045,2537.24
2020年12月,新北市,住,831699,2950369330,3547.4
2020年12月,新北市,行,4268945,2980910554,698.28
2020年12月,新北市,文教康樂,3356298,4656924655,1387.52
2020年12月,新北市,百貨,2507193,5876312175,2343.78
2020年12月,新北市,其他,9869072,27362263934,2772.53
2020年12月,桃園市,食,4016095,3308127417,823.72
2020年12月,桃園市,衣,299484,786841582,2627.32
2020年12月,桃園市,住,387354,1277025891,3296.79
2020年12月,桃園市,行,2136542,1652087996,773.25
2020年12月,桃園市,文教康樂,1455007,1916116131,1316.91
2020年12月,桃園市,百貨,1155299,2677156659,2317.28
2020年12月,桃園市,其他,4297476,11897434424,2768.47
2020年12月,新竹縣,食,1142820,959809553,839.86
2020年12月,新竹縣,衣,77584,207022562,2668.37
2020年12月,新竹縣,住,111330,412352371,3703.87
2020年12月,新竹縣,行,598203,472035910,789.09
2020年12月,新竹縣,文教康樂,377764,534275106,1414.31
2020年12月,新竹縣,百貨,331102,853320836,2577.21
2020年12月,新竹縣,其他,1167955,3197144285,2737.39
2020年12月,新竹市,食,1212525,985401643,812.69
2020年12月,新竹市,衣,72866,202387274,2777.53
2020年12月,新竹市,住,110102,409458286,3718.9
2020年12月,新竹市,行,542939,375684724,691.95
2020年12月,新竹市,文教康樂,380480,575201287,1511.78
2020年12月,新竹市,百貨,370466,965396004,2605.9
2020年12月,新竹市,其他,1105753,3294046266,2979.01
2020年12月,苗栗縣,食,539653,450007989,833.88
2020年12月,苗栗縣,衣,51753,133680633,2583.05
2020年12月,苗栗縣,住,61497,210145648,3417.17
2020年12月,苗栗縣,行,436351,328508294,752.85
2020年12月,苗栗縣,文教康樂,227319,267083193,1174.93
2020年12月,苗栗縣,百貨,160628,371060670,2310.06
2020年12月,苗栗縣,其他,698058,1847649080,2646.84
2020年12月,臺中市,食,5072554,4445294658,876.34
2020年12月,臺中市,衣,413597,1098884666,2656.9
2020年12月,臺中市,住,530988,1810676527,3410.01
